,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2019-04-28,4,2019-04-28,26.371428571428574,17.692857142857143,44.5,914.2357142857145,187.71428571428572,1.9,417.7857142857143,487.57142857142856,167.35714285714286
2019-04-29,4,2019-04-29,26.557142857142853,17.821428571428573,41.357142857142854,912.6071428571429,189.14285714285714,1.8214285714285714,125.92857142857143,335.5,240.57142857142858
2019-04-30,4,2019-04-30,24.22857142857143,25.207142857142856,50.07142857142857,912.3642857142858,157.71428571428572,2.0999999999999996,67.85714285714286,279.92857142857144,221.92857142857142
2019-05-01,5,2019-05-01,25.33571428571429,15.192857142857141,42.142857142857146,911.407142857143,196.14285714285714,1.65,512.5,510.7857142857143,112.78571428571429
2019-05-02,5,2019-05-02,23.792857142857144,19.77142857142857,43.57142857142857,912.0999999999998,129.85714285714286,1.2285714285714289,462.64285714285717,496.35714285714283,141.07142857142858
2019-05-03,5,2019-05-03,22.464285714285715,18.95714285714286,49.0,915.0071428571429,136.21428571428572,1.8499999999999999,522.2857142857143,509.14285714285717,116.71428571428571
2019-05-04,5,2019-05-04,25.199999999999992,14.799999999999999,41.642857142857146,915.142857142857,209.57142857142858,1.992857142857143,652.1428571428571,558.7142857142857,97.57142857142857
2019-05-05,5,2019-05-05,25.7,15.514285714285714,37.714285714285715,914.4285714285714,204.21428571428572,2.3857142857142857,617.9285714285714,552.9285714285714,105.57142857142857
2019-05-06,5,2019-05-06,27.128571428571423,11.542857142857143,34.214285714285715,913.0214285714286,181.14285714285714,1.7928571428571425,611.8571428571429,560.6428571428571,109.42857142857143
2019-05-07,5,2019-05-07,28.207142857142856,16.728571428571428,33.0,911.057142857143,189.0,1.7857142857142858,457.92857142857144,513.1428571428571,151.0
2019-05-08,5,2019-05-08,28.96428571428572,20.24285714285714,34.785714285714285,912.3214285714286,206.28571428571428,2.6499999999999995,419.2857142857143,486.92857142857144,142.64285714285714
2019-05-09,5,2019-05-09,29.099999999999998,22.664285714285715,35.5,910.5642857142857,195.35714285714286,2.1857142857142855,307.35714285714283,459.7857142857143,209.5
2019-05-10,5,2019-05-10,26.385714285714283,28.228571428571428,48.42857142857143,911.2071428571428,73.14285714285714,1.3714285714285717,403.42857142857144,487.0,167.14285714285714
2019-05-11,5,2019-05-11,23.321428571428573,31.985714285714284,65.35714285714286,914.0785714285713,155.92857142857142,1.6928571428571428,330.57142857142856,420.5,153.0
2019-05-12,5,2019-05-12,25.77142857142857,22.842857142857145,50.357142857142854,912.6785714285713,233.5,1.4142857142857144,448.2142857142857,512.2142857142857,164.57142857142858
2019-05-13,5,2019-05-13,25.821428571428573,26.67142857142857,50.57142857142857,911.1714285714286,166.21428571428572,1.5071428571428573,113.35714285714286,275.85714285714283,176.64285714285714
2019-05-14,5,2019-05-14,25.20714285714286,25.378571428571426,49.642857142857146,912.3,208.0,1.5928571428571427,470.42857142857144,520.4285714285714,161.92857142857142
2019-05-15,5,2019-05-15,25.22142857142858,27.621428571428574,52.714285714285715,912.9714285714286,143.14285714285714,2.107142857142857,33.285714285714285,296.2857142857143,264.7857142857143
2019-05-16,5,2019-05-16,22.914285714285718,31.807142857142853,64.57142857142857,914.142857142857,123.57142857142857,1.4357142857142855,48.357142857142854,268.7142857142857,232.78571428571428
2019-05-17,5,2019-05-17,21.857142857142854,33.771428571428565,70.85714285714286,913.2214285714288,110.14285714285714,1.4428571428571428,15.071428571428571,252.71428571428572,241.07142857142858
2019-05-18,5,2019-05-18,23.621428571428574,25.471428571428568,60.57142857142857,913.5285714285712,232.14285714285714,1.0357142857142858,436.57142857142856,517.3571428571429,156.64285714285714
2019-05-19,5,2019-05-19,25.378571428571426,28.978571428571428,52.0,913.6357142857145,219.92857142857142,1.65,454.14285714285717,501.35714285714283,130.85714285714286
2019-05-20,5,2019-05-20,26.357142857142858,20.42142857142857,48.142857142857146,915.3142857142857,205.92857142857142,1.9142857142857146,607.0,567.0714285714286,113.5
2019-05-21,5,2019-05-21,28.34285714285715,18.192857142857143,38.714285714285715,913.4714285714284,207.07142857142858,1.657142857142857,647.7857142857143,578.6428571428571,99.14285714285714
2019-05-22,5,2019-05-22,29.099999999999994,21.7,36.785714285714285,911.3857142857145,162.0,1.5857142857142859,286.0,455.7857142857143,225.35714285714286
2019-05-23,5,2019-05-23,22.45,36.75714285714286,73.85714285714286,912.1857142857143,88.64285714285714,1.114285714285714,210.57142857142858,345.92857142857144,160.28571428571428
2019-05-24,5,2019-05-24,20.914285714285715,30.928571428571427,76.5,913.4142857142858,102.71428571428571,1.3357142857142859,112.78571428571429,252.35714285714286,150.14285714285714
2019-05-25,5,2019-05-25,24.23571428571429,22.092857142857145,60.214285714285715,912.2714285714286,252.28571428571428,1.7642857142857142,644.4285714285714,575.1428571428571,107.78571428571429
2019-05-26,5,2019-05-26,26.02142857142857,21.271428571428572,53.07142857142857,911.0714285714287,198.92857142857142,1.6071428571428574,654.8571428571429,577.8571428571429,96.07142857142857
2019-05-27,5,2019-05-27,27.006666666666664,12.973333333333334,45.13333333333333,911.7533333333334,233.66666666666666,1.9933333333333332,647.3333333333334,554.8666666666667,88.8
2019-05-28,5,2019-05-28,28.878571428571433,16.95,42.857142857142854,911.0785714285712,222.85714285714286,2.0357142857142856,600.6428571428571,576.0714285714286,109.35714285714286
2019-05-29,5,2019-05-29,30.03571428571429,17.72857142857143,41.857142857142854,909.6142857142856,226.78571428571428,1.7928571428571425,574.2142857142857,569.5,129.35714285714286
2019-05-30,5,2019-05-30,31.14666666666667,22.413333333333338,39.6,908.7133333333333,223.53333333333333,2.1,486.73333333333335,510.8666666666667,129.4
2019-05-31,5,2019-05-31,30.88,22.593333333333337,37.93333333333333,909.0133333333334,266.6666666666667,2.426666666666667,516.5333333333333,522.5333333333333,127.13333333333334
2019-06-01,6,2019-06-01,36.49333333333333,20.706666666666663,16.0,927.6133333333331,229.06666666666666,3.8066666666666666,359.1333333333333,471.2,189.66666666666666
2019-06-02,6,2019-06-02,35.74666666666667,21.813333333333333,16.733333333333334,927.9133333333334,184.73333333333332,2.2066666666666666,408.2,493.8666666666667,164.6
2019-06-03,6,2019-06-03,37.05333333333333,21.98,14.933333333333334,926.3133333333334,131.46666666666667,4.333333333333333,270.1333333333333,429.6,199.06666666666666
2019-06-04,6,2019-06-04,33.86666666666667,25.139999999999997,23.066666666666666,928.72,97.4,2.8400000000000003,200.33333333333334,379.0,218.13333333333333
2019-06-05,6,2019-06-05,33.959999999999994,22.54,19.733333333333334,928.6733333333333,169.66666666666666,2.3866666666666663,277.93333333333334,386.2,173.0
2019-06-06,6,2019-06-06,33.066666666666656,23.260000000000005,18.666666666666668,929.5533333333333,194.86666666666667,2.3466666666666667,180.53333333333333,329.3333333333333,203.4
2019-06-07,6,2019-06-07,33.89333333333333,21.060000000000002,17.933333333333334,931.2533333333334,218.86666666666667,2.8133333333333335,510.8666666666667,524.0666666666667,132.2
2019-06-08,6,2019-06-08,34.83333333333334,24.98,18.733333333333334,929.6133333333331,201.93333333333334,3.1666666666666665,433.2,489.8,149.06666666666666
2019-06-09,6,2019-06-09,35.6,15.946666666666664,16.0,927.1666666666666,224.93333333333334,3.8,549.7333333333333,537.0666666666667,127.86666666666666
2019-06-10,6,2019-06-10,36.18666666666666,22.77333333333333,16.066666666666666,924.5866666666668,201.2,2.5466666666666664,458.06666666666666,507.53333333333336,153.8
